fra;jour;cage10;cl_age90;pop;P;T;Ti;Tp;Td
FR;13/05/2020;[00-10);9;7763205.5;13;1282;0.17;1.01;16.51
FR;14/05/2020;[00-10);9;7763205.5;19;1507;0.24;1.26;19.41
FR;15/05/2020;[00-10);9;7763205.5;16;2086;0.21;0.77;26.87
FR;16/05/2020;[00-10);9;7763205.5;10;899;0.13;1.11;11.58
FR;17/05/2020;[00-10);9;7763205.5;6;414;0.08;1.45;5.33
FR;18/05/2020;[00-10);9;7763205.5;35;2217;0.45;1.58;28.56
FR;19/05/2020;[00-10);9;7763205.5;21;2400;0.27;0.88;30.92
FR;20/05/2020;[00-10);9;7763205.5;27;2629;0.35;1.03;33.86
FR;21/05/2020;[00-10);9;7763205.5;8;651;0.1;1.23;8.39
FR;22/05/2020;[00-10);9;7763205.5;24;2429;0.31;0.99;31.29
FR;23/05/2020;[00-10);9;7763205.5;6;1090;0.08;0.55;14.04
FR;24/05/2020;[00-10);9;7763205.5;4;482;0.05;0.83;6.21
FR;25/05/2020;[00-10);9;7763205.5;16;2411;0.21;0.66;31.06
FR;26/05/2020;[00-10);9;7763205.5;29;2496;0.37;1.16;32.15
FR;27/05/2020;[00-10);9;7763205.5;23;2305;0.3;1;29.69
FR;28/05/2020;[00-10);9;7763205.5;20;2246;0.26;0.89;28.93
FR;29/05/2020;[00-10);9;7763205.5;28;2594;0.36;1.08;33.41
FR;30/05/2020;[00-10);9;7763205.5;15;1370;0.19;1.09;17.65
FR;31/05/2020;[00-10);9;7763205.5;6;590;0.08;1.02;7.6
FR;13/05/2020;[10-20);19;8336486;28;1689;0.34;1.66;20.26
FR;14/05/2020;[10-20);19;8336486;42;1910;0.5;2.2;22.91
FR;15/05/2020;[10-20);19;8336486;41;2367;0.49;1.73;28.39
FR;16/05/2020;[10-20);19;8336486;13;815;0.16;1.6;9.78
FR;17/05/2020;[10-20);19;8336486;4;297;0.05;1.35;3.56
FR;18/05/2020;[10-20);19;8336486;49;2509;0.59;1.95;30.1
FR;19/05/2020;[10-20);19;8336486;44;2649;0.53;1.66;31.78
FR;20/05/2020;[10-20);19;8336486;59;2913;0.71;2.03;34.94
FR;21/05/2020;[10-20);19;8336486;12;481;0.14;2.49;5.77
FR;22/05/2020;[10-20);19;8336486;39;2857;0.47;1.37;34.27
FR;23/05/2020;[10-20);19;8336486;29;1126;0.35;2.58;13.51
FR;24/05/2020;[10-20);19;8336486;22;428;0.26;5.14;5.13
FR;25/05/2020;[10-20);19;8336486;46;3003;0.55;1.53;36.02
FR;26/05/2020;[10-20);19;8336486;47;3341;0.56;1.41;40.08
FR;27/05/2020;[10-20);19;8336486;45;2905;0.54;1.55;34.85
FR;28/05/2020;[10-20);19;8336486;52;2819;0.62;1.84;33.82
FR;29/05/2020;[10-20);19;8336486;42;3064;0.5;1.37;36.75
FR;30/05/2020;[10-20);19;8336486;29;1336;0.35;2.17;16.03
FR;31/05/2020;[10-20);19;8336486;25;559;0.3;4.47;6.71
FR;13/05/2020;[20-30);29;7476787;105;4675;1.4;2.25;62.53
FR;14/05/2020;[20-30);29;7476787;116;5275;1.55;2.2;70.55
FR;15/05/2020;[20-30);29;7476787;134;5962;1.79;2.25;79.74
FR;16/05/2020;[20-30);29;7476787;37;1923;0.49;1.92;25.72
FR;17/05/2020;[20-30);29;7476787;17;628;0.23;2.71;8.4
FR;18/05/2020;[20-30);29;7476787;125;6252;1.67;2;83.62
FR;19/05/2020;[20-30);29;7476787;115;6861;1.54;1.68;91.76
FR;20/05/2020;[20-30);29;7476787;116;6817;1.55;1.7;91.18
FR;21/05/2020;[20-30);29;7476787;25;1004;0.33;2.49;13.43
FR;22/05/2020;[20-30);29;7476787;117;6098;1.56;1.92;81.56
FR;23/05/2020;[20-30);29;7476787;31;2233;0.41;1.39;29.87
FR;24/05/2020;[20-30);29;7476787;25;713;0.33;3.51;9.54
FR;25/05/2020;[20-30);29;7476787;84;6231;1.12;1.35;83.34
FR;26/05/2020;[20-30);29;7476787;98;7082;1.31;1.38;94.72
FR;27/05/2020;[20-30);29;7476787;84;5896;1.12;1.42;78.86
FR;28/05/2020;[20-30);29;7476787;102;5717;1.36;1.78;76.46
FR;29/05/2020;[20-30);29;7476787;84;6016;1.12;1.4;80.46
FR;30/05/2020;[20-30);29;7476787;85;2377;1.14;3.58;31.79
FR;31/05/2020;[20-30);29;7476787;51;875;0.68;5.83;11.7
FR;13/05/2020;[30-40);39;8295372;109;5729;1.31;1.9;69.06
FR;14/05/2020;[30-40);39;8295372;113;6202;1.36;1.82;74.76
FR;15/05/2020;[30-40);39;8295372;131;6777;1.58;1.93;81.7
FR;16/05/2020;[30-40);39;8295372;27;2309;0.33;1.17;27.83
FR;17/05/2020;[30-40);39;8295372;12;774;0.14;1.55;9.33
FR;18/05/2020;[30-40);39;8295372;109;7354;1.31;1.48;88.65
FR;19/05/2020;[30-40);39;8295372;121;7831;1.46;1.55;94.4
FR;20/05/2020;[30-40);39;8295372;131;7664;1.58;1.71;92.39
FR;21/05/2020;[30-40);39;8295372;18;1140;0.22;1.58;13.74
FR;22/05/2020;[30-40);39;8295372;93;6756;1.12;1.38;81.44
FR;23/05/2020;[30-40);39;8295372;33;2460;0.4;1.34;29.66
FR;24/05/2020;[30-40);39;8295372;13;828;0.16;1.57;9.98
FR;25/05/2020;[30-40);39;8295372;94;6828;1.13;1.38;82.31
FR;26/05/2020;[30-40);39;8295372;86;7487;1.04;1.15;90.26
FR;27/05/2020;[30-40);39;8295372;80;6326;0.96;1.26;76.26
FR;28/05/2020;[30-40);39;8295372;89;6258;1.07;1.42;75.44
FR;29/05/2020;[30-40);39;8295372;68;6634;0.82;1.03;79.97
FR;30/05/2020;[30-40);39;8295372;64;2611;0.77;2.45;31.48
FR;31/05/2020;[30-40);39;8295372;36;894;0.43;4.03;10.78
FR;13/05/2020;[40-50);49;8592886;102;5896;1.19;1.73;68.61
FR;14/05/2020;[40-50);49;8592886;121;6167;1.41;1.96;71.77
FR;15/05/2020;[40-50);49;8592886;115;6846;1.34;1.68;79.67
FR;16/05/2020;[40-50);49;8592886;39;2236;0.45;1.74;26.02
FR;17/05/2020;[40-50);49;8592886;14;683;0.16;2.05;7.95
FR;18/05/2020;[40-50);49;8592886;118;7241;1.37;1.63;84.27
FR;19/05/2020;[40-50);49;8592886;140;7588;1.63;1.85;88.31
FR;20/05/2020;[40-50);49;8592886;147;7612;1.71;1.93;88.58
FR;21/05/2020;[40-50);49;8592886;19;1089;0.22;1.74;12.67
FR;22/05/2020;[40-50);49;8592886;114;6655;1.33;1.71;77.45
FR;23/05/2020;[40-50);49;8592886;23;2302;0.27;1;26.79
FR;24/05/2020;[40-50);49;8592886;15;727;0.17;2.06;8.46
FR;25/05/2020;[40-50);49;8592886;96;6731;1.12;1.43;78.33
FR;26/05/2020;[40-50);49;8592886;109;7142;1.27;1.53;83.12
FR;27/05/2020;[40-50);49;8592886;111;6315;1.29;1.76;73.49
FR;28/05/2020;[40-50);49;8592886;94;5962;1.09;1.58;69.38
FR;29/05/2020;[40-50);49;8592886;69;6659;0.8;1.04;77.49
FR;30/05/2020;[40-50);49;8592886;51;2471;0.59;2.06;28.76
FR;31/05/2020;[40-50);49;8592886;20;817;0.23;2.45;9.51
FR;13/05/2020;[50-60);59;8792675;117;6002;1.33;1.95;68.26
FR;14/05/2020;[50-60);59;8792675;129;6392;1.47;2.02;72.7
FR;15/05/2020;[50-60);59;8792675;128;6952;1.46;1.84;79.07
FR;16/05/2020;[50-60);59;8792675;32;2368;0.36;1.35;26.93
FR;17/05/2020;[50-60);59;8792675;18;760;0.2;2.37;8.64
FR;18/05/2020;[50-60);59;8792675;117;7462;1.33;1.57;84.87
FR;19/05/2020;[50-60);59;8792675;125;7785;1.42;1.61;88.54
FR;20/05/2020;[50-60);59;8792675;155;7674;1.76;2.02;87.28
FR;21/05/2020;[50-60);59;8792675;17;1139;0.19;1.49;12.95
FR;22/05/2020;[50-60);59;8792675;98;7356;1.11;1.33;83.66
FR;23/05/2020;[50-60);59;8792675;37;2486;0.42;1.49;28.27
FR;24/05/2020;[50-60);59;8792675;10;837;0.11;1.19;9.52
FR;25/05/2020;[50-60);59;8792675;74;7175;0.84;1.03;81.6
FR;26/05/2020;[50-60);59;8792675;98;7320;1.11;1.34;83.25
FR;27/05/2020;[50-60);59;8792675;88;6521;1;1.35;74.16
FR;28/05/2020;[50-60);59;8792675;66;6330;0.75;1.04;71.99
FR;29/05/2020;[50-60);59;8792675;78;7031;0.89;1.11;79.96
FR;30/05/2020;[50-60);59;8792675;34;2680;0.39;1.27;30.48
FR;31/05/2020;[50-60);59;8792675;15;986;0.17;1.52;11.21
FR;13/05/2020;[60-70);69;8004083;92;4445;1.15;2.07;55.53
FR;14/05/2020;[60-70);69;8004083;86;4728;1.07;1.82;59.07
FR;15/05/2020;[60-70);69;8004083;91;5530;1.14;1.65;69.09
FR;16/05/2020;[60-70);69;8004083;22;1929;0.27;1.14;24.1
FR;17/05/2020;[60-70);69;8004083;16;794;0.2;2.02;9.92
FR;18/05/2020;[60-70);69;8004083;113;5846;1.41;1.93;73.04
FR;19/05/2020;[60-70);69;8004083;104;5727;1.3;1.82;71.55
FR;20/05/2020;[60-70);69;8004083;84;6039;1.05;1.39;75.45
FR;21/05/2020;[60-70);69;8004083;15;1072;0.19;1.4;13.39
FR;22/05/2020;[60-70);69;8004083;61;6252;0.76;0.98;78.11
FR;23/05/2020;[60-70);69;8004083;20;2348;0.25;0.85;29.34
FR;24/05/2020;[60-70);69;8004083;14;863;0.17;1.62;10.78
FR;25/05/2020;[60-70);69;8004083;73;6450;0.91;1.13;80.58
FR;26/05/2020;[60-70);69;8004083;64;6075;0.8;1.05;75.9
FR;27/05/2020;[60-70);69;8004083;71;5272;0.89;1.35;65.87
FR;28/05/2020;[60-70);69;8004083;54;4892;0.67;1.1;61.12
FR;29/05/2020;[60-70);69;8004083;54;5886;0.67;0.92;73.54
FR;30/05/2020;[60-70);69;8004083;26;2443;0.32;1.06;30.52
FR;31/05/2020;[60-70);69;8004083;11;972;0.14;1.13;12.14
FR;13/05/2020;[70-80);79;5695639;90;3468;1.58;2.6;60.89
FR;14/05/2020;[70-80);79;5695639;84;3879;1.47;2.17;68.1
FR;15/05/2020;[70-80);79;5695639;104;4576;1.83;2.27;80.34
FR;16/05/2020;[70-80);79;5695639;27;1694;0.47;1.59;29.74
FR;17/05/2020;[70-80);79;5695639;16;863;0.28;1.85;15.15
FR;18/05/2020;[70-80);79;5695639;104;4962;1.83;2.1;87.12
FR;19/05/2020;[70-80);79;5695639;93;4827;1.63;1.93;84.75
FR;20/05/2020;[70-80);79;5695639;81;4936;1.42;1.64;86.66
FR;21/05/2020;[70-80);79;5695639;27;1082;0.47;2.5;19
FR;22/05/2020;[70-80);79;5695639;86;5455;1.51;1.58;95.78
FR;23/05/2020;[70-80);79;5695639;29;2158;0.51;1.34;37.89
FR;24/05/2020;[70-80);79;5695639;18;962;0.32;1.87;16.89
FR;25/05/2020;[70-80);79;5695639;53;5560;0.93;0.95;97.62
FR;26/05/2020;[70-80);79;5695639;50;5295;0.88;0.94;92.97
FR;27/05/2020;[70-80);79;5695639;60;4556;1.05;1.32;79.99
FR;28/05/2020;[70-80);79;5695639;40;4120;0.7;0.97;72.34
FR;29/05/2020;[70-80);79;5695639;48;5249;0.84;0.91;92.16
FR;30/05/2020;[70-80);79;5695639;21;2329;0.37;0.9;40.89
FR;31/05/2020;[70-80);79;5695639;11;981;0.19;1.12;17.22
FR;13/05/2020;[80-90);89;3245280.5;121;3789;3.73;3.19;116.75
FR;14/05/2020;[80-90);89;3245280.5;166;3875;5.12;4.28;119.4
FR;15/05/2020;[80-90);89;3245280.5;162;4340;4.99;3.73;133.73
FR;16/05/2020;[80-90);89;3245280.5;48;1613;1.48;2.98;49.7
FR;17/05/2020;[80-90);89;3245280.5;22;946;0.68;2.33;29.15
FR;18/05/2020;[80-90);89;3245280.5;188;4900;5.79;3.84;150.99
FR;19/05/2020;[80-90);89;3245280.5;143;4750;4.41;3.01;146.37
FR;20/05/2020;[80-90);89;3245280.5;153;4710;4.71;3.25;145.13
FR;21/05/2020;[80-90);89;3245280.5;29;1311;0.89;2.21;40.4
FR;22/05/2020;[80-90);89;3245280.5;106;4617;3.27;2.3;142.27
FR;23/05/2020;[80-90);89;3245280.5;36;1937;1.11;1.86;59.69
FR;24/05/2020;[80-90);89;3245280.5;18;956;0.55;1.88;29.46
FR;25/05/2020;[80-90);89;3245280.5;103;4929;3.17;2.09;151.88
FR;26/05/2020;[80-90);89;3245280.5;94;5003;2.9;1.88;154.16
FR;27/05/2020;[80-90);89;3245280.5;81;4306;2.5;1.88;132.68
FR;28/05/2020;[80-90);89;3245280.5;65;3973;2;1.64;122.42
FR;29/05/2020;[80-90);89;3245280.5;58;4340;1.79;1.34;133.73
FR;30/05/2020;[80-90);89;3245280.5;26;1899;0.8;1.37;58.52
FR;31/05/2020;[80-90);89;3245280.5;10;1295;0.31;0.77;39.9
FR;13/05/2020;[90-Inf);90;912580.62;114;2581;12.49;4.42;282.82
FR;14/05/2020;[90-Inf);90;912580.62;119;2543;13.04;4.68;278.66
FR;15/05/2020;[90-Inf);90;912580.62;115;2713;12.6;4.24;297.29
FR;16/05/2020;[90-Inf);90;912580.62;37;873;4.05;4.24;95.66
FR;17/05/2020;[90-Inf);90;912580.62;17;490;1.86;3.47;53.69
FR;18/05/2020;[90-Inf);90;912580.62;161;3126;17.64;5.15;342.55
FR;19/05/2020;[90-Inf);90;912580.62;149;2925;16.33;5.09;320.52
FR;20/05/2020;[90-Inf);90;912580.62;104;2666;11.4;3.9;292.14
FR;21/05/2020;[90-Inf);90;912580.62;24;806;2.63;2.98;88.32
FR;22/05/2020;[90-Inf);90;912580.62;87;2423;9.53;3.59;265.51
FR;23/05/2020;[90-Inf);90;912580.62;22;958;2.41;2.3;104.98
FR;24/05/2020;[90-Inf);90;912580.62;7;449;0.77;1.56;49.2
FR;25/05/2020;[90-Inf);90;912580.62;70;2593;7.67;2.7;284.14
FR;26/05/2020;[90-Inf);90;912580.62;97;2804;10.63;3.46;307.26
FR;27/05/2020;[90-Inf);90;912580.62;84;2290;9.2;3.67;250.94
FR;28/05/2020;[90-Inf);90;912580.62;50;2347;5.48;2.13;257.18
FR;29/05/2020;[90-Inf);90;912580.62;48;2096;5.26;2.29;229.68
FR;30/05/2020;[90-Inf);90;912580.62;21;823;2.3;2.55;90.18
FR;31/05/2020;[90-Inf);90;912580.62;4;591;0.44;0.68;64.76
FR;01/06/2020;[00-10);9;7763205.5;5;607;0.06;0.82;7.82
FR;02/06/2020;[00-10);9;7763205.5;32;2253;0.41;1.42;29.02
FR;03/06/2020;[00-10);9;7763205.5;15;2175;0.19;0.69;28.02
FR;04/06/2020;[00-10);9;7763205.5;25;2005;0.32;1.25;25.83
FR;05/06/2020;[00-10);9;7763205.5;17;2239;0.22;0.76;28.84
FR;06/06/2020;[00-10);9;7763205.5;14;1033;0.18;1.36;13.31
FR;07/06/2020;[00-10);9;7763205.5;8;471;0.1;1.7;6.07
FR;08/06/2020;[00-10);9;7763205.5;27;2059;0.35;1.31;26.52
FR;09/06/2020;[00-10);9;7763205.5;32;2090;0.41;1.53;26.92
FR;10/06/2020;[00-10);9;7763205.5;23;1930;0.3;1.19;24.86
FR;11/06/2020;[00-10);9;7763205.5;50;1856;0.64;2.69;23.91
FR;12/06/2020;[00-10);9;7763205.5;48;2141;0.62;2.24;27.58
FR;13/06/2020;[00-10);9;7763205.5;12;991;0.15;1.21;12.77
FR;14/06/2020;[00-10);9;7763205.5;9;397;0.12;2.27;5.11
FR;15/06/2020;[00-10);9;7763205.5;35;2062;0.45;1.7;26.56
FR;16/06/2020;[00-10);9;7763205.5;30;2038;0.39;1.47;26.25
FR;17/06/2020;[00-10);9;7763205.5;50;2038;0.64;2.45;26.25
FR;18/06/2020;[00-10);9;7763205.5;43;1954;0.55;2.2;25.17
FR;19/06/2020;[00-10);9;7763205.5;47;2300;0.61;2.04;29.63
FR;20/06/2020;[00-10);9;7763205.5;23;1148;0.3;2;14.79
FR;21/06/2020;[00-10);9;7763205.5;3;347;0.04;0.86;4.47
FR;22/06/2020;[00-10);9;7763205.5;35;2495;0.45;1.4;32.14
FR;23/06/2020;[00-10);9;7763205.5;35;2778;0.45;1.26;35.78
FR;24/06/2020;[00-10);9;7763205.5;42;2828;0.54;1.49;36.43
FR;25/06/2020;[00-10);9;7763205.5;30;2685;0.39;1.12;34.59
FR;26/06/2020;[00-10);9;7763205.5;28;4151;0.36;0.67;53.47
FR;27/06/2020;[00-10);9;7763205.5;29;2054;0.37;1.41;26.46
FR;28/06/2020;[00-10);9;7763205.5;13;693;0.17;1.88;8.93
FR;29/06/2020;[00-10);9;7763205.5;51;5747;0.66;0.89;74.03
FR;30/06/2020;[00-10);9;7763205.5;44;5739;0.57;0.77;73.93
FR;01/06/2020;[10-20);19;8336486;13;553;0.16;2.35;6.63
FR;02/06/2020;[10-20);19;8336486;34;3012;0.41;1.13;36.13
FR;03/06/2020;[10-20);19;8336486;39;2863;0.47;1.36;34.34
FR;04/06/2020;[10-20);19;8336486;25;2606;0.3;0.96;31.26
FR;05/06/2020;[10-20);19;8336486;50;3071;0.6;1.63;36.84
FR;06/06/2020;[10-20);19;8336486;18;1396;0.22;1.29;16.75
FR;07/06/2020;[10-20);19;8336486;16;418;0.19;3.83;5.01
FR;08/06/2020;[10-20);19;8336486;37;2745;0.44;1.35;32.93
FR;09/06/2020;[10-20);19;8336486;45;2808;0.54;1.6;33.68
FR;10/06/2020;[10-20);19;8336486;41;2701;0.49;1.52;32.4
FR;11/06/2020;[10-20);19;8336486;51;2428;0.61;2.1;29.12
FR;12/06/2020;[10-20);19;8336486;68;3020;0.82;2.25;36.23
FR;13/06/2020;[10-20);19;8336486;20;1306;0.24;1.53;15.67
FR;14/06/2020;[10-20);19;8336486;8;325;0.1;2.46;3.9
FR;15/06/2020;[10-20);19;8336486;49;2844;0.59;1.72;34.12
FR;16/06/2020;[10-20);19;8336486;44;2843;0.53;1.55;34.1
FR;17/06/2020;[10-20);19;8336486;65;2850;0.78;2.28;34.19
FR;18/06/2020;[10-20);19;8336486;66;2567;0.79;2.57;30.79
FR;19/06/2020;[10-20);19;8336486;70;3221;0.84;2.17;38.64
FR;20/06/2020;[10-20);19;8336486;35;1579;0.42;2.22;18.94
FR;21/06/2020;[10-20);19;8336486;10;343;0.12;2.92;4.11
FR;22/06/2020;[10-20);19;8336486;62;3497;0.74;1.77;41.95
FR;23/06/2020;[10-20);19;8336486;80;3686;0.96;2.17;44.22
FR;24/06/2020;[10-20);19;8336486;61;3859;0.73;1.58;46.29
FR;25/06/2020;[10-20);19;8336486;49;3291;0.59;1.49;39.48
FR;26/06/2020;[10-20);19;8336486;61;4231;0.73;1.44;50.75
FR;27/06/2020;[10-20);19;8336486;31;2005;0.37;1.55;24.05
FR;28/06/2020;[10-20);19;8336486;29;554;0.35;5.23;6.65
FR;29/06/2020;[10-20);19;8336486;61;5552;0.73;1.1;66.6
FR;30/06/2020;[10-20);19;8336486;65;5483;0.78;1.19;65.77
FR;01/06/2020;[20-30);29;7476787;41;1163;0.55;3.53;15.55
FR;02/06/2020;[20-30);29;7476787;104;5837;1.39;1.78;78.07
FR;03/06/2020;[20-30);29;7476787;90;5729;1.2;1.57;76.62
FR;04/06/2020;[20-30);29;7476787;76;5223;1.02;1.46;69.86
FR;05/06/2020;[20-30);29;7476787;72;5603;0.96;1.29;74.94
FR;06/06/2020;[20-30);29;7476787;41;2148;0.55;1.91;28.73
FR;07/06/2020;[20-30);29;7476787;12;680;0.16;1.76;9.09
FR;08/06/2020;[20-30);29;7476787;85;5295;1.14;1.61;70.82
FR;09/06/2020;[20-30);29;7476787;85;5489;1.14;1.55;73.41
FR;10/06/2020;[20-30);29;7476787;90;5041;1.2;1.79;67.42
FR;11/06/2020;[20-30);29;7476787;98;4797;1.31;2.04;64.16
FR;12/06/2020;[20-30);29;7476787;98;5284;1.31;1.85;70.67
FR;13/06/2020;[20-30);29;7476787;38;2033;0.51;1.87;27.19
FR;14/06/2020;[20-30);29;7476787;17;580;0.23;2.93;7.76
FR;15/06/2020;[20-30);29;7476787;69;4993;0.92;1.38;66.78
FR;16/06/2020;[20-30);29;7476787;92;4974;1.23;1.85;66.53
FR;17/06/2020;[20-30);29;7476787;115;4896;1.54;2.35;65.48
FR;18/06/2020;[20-30);29;7476787;85;4612;1.14;1.84;61.68
FR;19/06/2020;[20-30);29;7476787;112;5227;1.5;2.14;69.91
FR;20/06/2020;[20-30);29;7476787;61;2170;0.82;2.81;29.02
FR;21/06/2020;[20-30);29;7476787;18;565;0.24;3.19;7.56
FR;22/06/2020;[20-30);29;7476787;102;5836;1.36;1.75;78.05
FR;23/06/2020;[20-30);29;7476787;118;5977;1.58;1.97;79.94
FR;24/06/2020;[20-30);29;7476787;132;5626;1.77;2.35;75.25
FR;25/06/2020;[20-30);29;7476787;81;4982;1.08;1.63;66.63
FR;26/06/2020;[20-30);29;7476787;116;5939;1.55;1.95;79.43
FR;27/06/2020;[20-30);29;7476787;60;2615;0.8;2.29;34.97
FR;28/06/2020;[20-30);29;7476787;40;771;0.53;5.19;10.31
FR;29/06/2020;[20-30);29;7476787;117;6958;1.56;1.68;93.06
FR;30/06/2020;[20-30);29;7476787;115;7079;1.54;1.62;94.68
FR;01/06/2020;[30-40);39;8295372;21;1060;0.25;1.98;12.78
FR;02/06/2020;[30-40);39;8295372;75;6298;0.9;1.19;75.92
FR;03/06/2020;[30-40);39;8295372;103;5857;1.24;1.76;70.61
FR;04/06/2020;[30-40);39;8295372;113;5672;1.36;1.99;68.38
FR;05/06/2020;[30-40);39;8295372;86;6045;1.04;1.42;72.87
FR;06/06/2020;[30-40);39;8295372;51;2337;0.61;2.18;28.17
FR;07/06/2020;[30-40);39;8295372;17;725;0.2;2.34;8.74
FR;08/06/2020;[30-40);39;8295372;87;5754;1.05;1.51;69.36
FR;09/06/2020;[30-40);39;8295372;84;5652;1.01;1.49;68.13
FR;10/06/2020;[30-40);39;8295372;87;5357;1.05;1.62;64.58
FR;11/06/2020;[30-40);39;8295372;123;5341;1.48;2.3;64.39
FR;12/06/2020;[30-40);39;8295372;89;5750;1.07;1.55;69.32
FR;13/06/2020;[30-40);39;8295372;36;2332;0.43;1.54;28.11
FR;14/06/2020;[30-40);39;8295372;27;672;0.33;4.02;8.1
FR;15/06/2020;[30-40);39;8295372;91;5373;1.1;1.69;64.77
FR;16/06/2020;[30-40);39;8295372;105;5411;1.27;1.94;65.23
FR;17/06/2020;[30-40);39;8295372;128;5183;1.54;2.47;62.48
FR;18/06/2020;[30-40);39;8295372;114;5071;1.37;2.25;61.13
FR;19/06/2020;[30-40);39;8295372;136;5841;1.64;2.33;70.41
FR;20/06/2020;[30-40);39;8295372;59;2582;0.71;2.29;31.13
FR;21/06/2020;[30-40);39;8295372;25;670;0.3;3.73;8.08
FR;22/06/2020;[30-40);39;8295372;104;6102;1.25;1.7;73.56
FR;23/06/2020;[30-40);39;8295372;116;6329;1.4;1.83;76.3
FR;24/06/2020;[30-40);39;8295372;135;6223;1.63;2.17;75.02
FR;25/06/2020;[30-40);39;8295372;114;5439;1.37;2.1;65.57
FR;26/06/2020;[30-40);39;8295372;95;6594;1.15;1.44;79.49
FR;27/06/2020;[30-40);39;8295372;57;2837;0.69;2.01;34.2
FR;28/06/2020;[30-40);39;8295372;30;878;0.36;3.42;10.58
FR;29/06/2020;[30-40);39;8295372;123;8077;1.48;1.52;97.37
FR;30/06/2020;[30-40);39;8295372;150;8137;1.81;1.84;98.09
FR;01/06/2020;[40-50);49;8592886;20;971;0.23;2.06;11.3
FR;02/06/2020;[40-50);49;8592886;105;6224;1.22;1.69;72.43
FR;03/06/2020;[40-50);49;8592886;80;5623;0.93;1.42;65.44
FR;04/06/2020;[40-50);49;8592886;89;5397;1.04;1.65;62.81
FR;05/06/2020;[40-50);49;8592886;71;5853;0.83;1.21;68.11
FR;06/06/2020;[40-50);49;8592886;45;2401;0.52;1.87;27.94
FR;07/06/2020;[40-50);49;8592886;21;736;0.24;2.85;8.57
FR;08/06/2020;[40-50);49;8592886;87;5699;1.01;1.53;66.32
FR;09/06/2020;[40-50);49;8592886;94;5642;1.09;1.67;65.66
FR;10/06/2020;[40-50);49;8592886;64;5182;0.74;1.24;60.31
FR;11/06/2020;[40-50);49;8592886;85;5275;0.99;1.61;61.39
FR;12/06/2020;[40-50);49;8592886;88;5502;1.02;1.6;64.03
FR;13/06/2020;[40-50);49;8592886;33;2234;0.38;1.48;26
FR;14/06/2020;[40-50);49;8592886;14;648;0.16;2.16;7.54
FR;15/06/2020;[40-50);49;8592886;69;5314;0.8;1.3;61.84
FR;16/06/2020;[40-50);49;8592886;74;5343;0.86;1.38;62.18
FR;17/06/2020;[40-50);49;8592886;125;4809;1.45;2.6;55.96
FR;18/06/2020;[40-50);49;8592886;93;4810;1.08;1.93;55.98
FR;19/06/2020;[40-50);49;8592886;105;5738;1.22;1.83;66.78
FR;20/06/2020;[40-50);49;8592886;53;2661;0.62;1.99;30.97
FR;21/06/2020;[40-50);49;8592886;12;622;0.14;1.93;7.24
FR;22/06/2020;[40-50);49;8592886;89;5891;1.04;1.51;68.56
FR;23/06/2020;[40-50);49;8592886;99;6060;1.15;1.63;70.52
FR;24/06/2020;[40-50);49;8592886;106;5720;1.23;1.85;66.57
FR;25/06/2020;[40-50);49;8592886;77;4919;0.9;1.57;57.25
FR;26/06/2020;[40-50);49;8592886;90;6229;1.05;1.44;72.49
FR;27/06/2020;[40-50);49;8592886;49;2811;0.57;1.74;32.71
FR;28/06/2020;[40-50);49;8592886;28;791;0.33;3.54;9.21
FR;29/06/2020;[40-50);49;8592886;103;7379;1.2;1.4;85.87
FR;30/06/2020;[40-50);49;8592886;110;7349;1.28;1.5;85.52
FR;01/06/2020;[50-60);59;8792675;24;1130;0.27;2.12;12.85
FR;02/06/2020;[50-60);59;8792675;82;6862;0.93;1.19;78.04
FR;03/06/2020;[50-60);59;8792675;75;6135;0.85;1.22;69.77
FR;04/06/2020;[50-60);59;8792675;87;5566;0.99;1.56;63.3
FR;05/06/2020;[50-60);59;8792675;67;6407;0.76;1.05;72.87
FR;06/06/2020;[50-60);59;8792675;34;2560;0.39;1.33;29.12
FR;07/06/2020;[50-60);59;8792675;16;876;0.18;1.83;9.96
FR;08/06/2020;[50-60);59;8792675;66;6163;0.75;1.07;70.09
FR;09/06/2020;[50-60);59;8792675;74;6065;0.84;1.22;68.98
FR;10/06/2020;[50-60);59;8792675;79;5532;0.9;1.43;62.92
FR;11/06/2020;[50-60);59;8792675;81;5297;0.92;1.53;60.24
FR;12/06/2020;[50-60);59;8792675;72;6020;0.82;1.2;68.47
FR;13/06/2020;[50-60);59;8792675;21;2532;0.24;0.83;28.8
FR;14/06/2020;[50-60);59;8792675;14;774;0.16;1.81;8.8
FR;15/06/2020;[50-60);59;8792675;50;5804;0.57;0.86;66.01
FR;16/06/2020;[50-60);59;8792675;72;5664;0.82;1.27;64.42
FR;17/06/2020;[50-60);59;8792675;86;5318;0.98;1.62;60.48
FR;18/06/2020;[50-60);59;8792675;62;5008;0.71;1.24;56.96
FR;19/06/2020;[50-60);59;8792675;85;6112;0.97;1.39;69.51
FR;20/06/2020;[50-60);59;8792675;53;2874;0.6;1.84;32.69
FR;21/06/2020;[50-60);59;8792675;19;708;0.22;2.68;8.05
FR;22/06/2020;[50-60);59;8792675;73;6406;0.83;1.14;72.86
FR;23/06/2020;[50-60);59;8792675;88;6174;1;1.43;70.22
FR;24/06/2020;[50-60);59;8792675;77;5886;0.88;1.31;66.94
